locus_tag,Before optimization SEQUENCING_PRIMER_1 location (start-end),Before optimization SEQUENCING_PRIMER_1 off-target site,Before optimization SEQUENCING_PRIMER_2 location (start-end),Before optimization  SEQUENCING_PRIMER_2 off-target site,After optimization SEQUENCING_PRIMER_1 location (start-end),After optimization SEQUENCING_PRIMER_1 off-target site,After optimization SEQUENCING_PRIMER_2 location (start-end),After optimization  SEQUENCING_PRIMER_2 off-target site,type (B: Before optimization);(A:After optimization),strain,index
NC_000964.3_401_substitution,,,,,NC_000964.3:3383463-3383484,,NC_000964.3:3384079-3384100,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-3
NC_000964.3_324_deletion,,,,,NC_000964.3:2802270-2802290,,NC_000964.3:2802873-2802893,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-3
NC_000964.3_222_deletion,,,,,NC_000964.3:2432756-2432776,,NC_000964.3:2433284-2433306,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-3
NC_000964.3_303_substitution,,,,,NC_000964.3:2269847-2269869,,NC_000964.3:2270467-2270489,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-3
NC_000964.3_342_deletion,,,,,NC_000964.3:1103265-1103288,,NC_000964.3:1103892-1103913,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-3
NC_000964.3_358_substitution,,,,,NC_000964.3:3179004-3179028,,NC_000964.3:3179613-3179633,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-3
NC_000964.3_205_substitution,,,,,NC_000964.3:1023132-1023152,,NC_000964.3:1023721-1023741,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-3
NC_000964.3_346_deletion,,,,,NC_000964.3:646808-646828,,NC_000964.3:647419-647439,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-3
NC_000964.3_315_deletion,,,,,NC_000964.3:3795296-3795316,,NC_000964.3:3795894-3795914,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-3
NC_000964.3_43_insertion,,,,,NC_000964.3:2365188-2365208,,NC_000964.3:2365714-2365734,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-3
NC_000964.3_16_substitution,NC_000964.3:950515-950535,NC_000964.3:34274-34294;NC_000964.3:94351-94371;NC_000964.3:639252-639272;NC_000964.3:13806-13826;NC_000964.3:164706-164726;NC_000964.3:175311-175331;NC_000964.3:170312-170332;NC_000964.3:100207-100227;NC_000964.3:3174802-3174822,NC_000964.3:951025-951045,NC_000964.3:100717-100737;NC_000964.3:94861-94881;NC_000964.3:165215-165235;NC_000964.3:34784-34804;NC_000964.3:14316-14336;NC_000964.3:175821-175841;NC_000964.3:170821-170841;NC_000964.3:639762-639782;NC_000964.3:3174292-3174312,NC_000964.3:950465-950485,,NC_000964.3:951443-951465,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Bacillus_subtilis,500-4
NC_000964.3_132_substitution,NC_000964.3:948475-948495,NC_000964.3:637212-637232;NC_000964.3:32234-32254;NC_000964.3:11766-11786;NC_000964.3:173271-173291;NC_000964.3:162667-162687;NC_000964.3:168275-168295;NC_000964.3:98167-98187;NC_000964.3:92311-92331;NC_000964.3:3176842-3176862,NC_000964.3:948989-949009,NC_000964.3:12280-12300;NC_000964.3:173785-173805;NC_000964.3:168789-168809;NC_000964.3:163180-163200;NC_000964.3:32748-32768;NC_000964.3:637726-637746;NC_000964.3:92825-92845;NC_000964.3:98681-98701;NC_000964.3:3176328-3176348,,,,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:All primer templates offtarget,Bacillus_subtilis,500-4
NC_000964.3_306_deletion,NC_000964.3:4097271-4097291,NC_000964.3:4097153-4097173,NC_000964.3:4097847-4097869,,NC_000964.3:4097271-4097291,NC_000964.3:4097153-4097173,NC_000964.3:4097847-4097869,,B:SEQUENCING_PRIMER_1 offtarget;A:SEQUENCING_PRIMER_1 offtarget,Bacillus_subtilis,500-4
NC_000964.3_341_substitution,NC_000964.3:167834-167854,NC_000964.3:3177286-3177306;NC_000964.3:172831-172851;NC_000964.3:162226-162246;NC_000964.3:636768-636788;NC_000964.3:948031-948051;NC_000964.3:97726-97746;NC_000964.3:31613-31633;NC_000964.3:91870-91890;NC_000964.3:11145-11165,NC_000964.3:168343-168363,NC_000964.3:92379-92399;NC_000964.3:173339-173359;NC_000964.3:98235-98255;NC_000964.3:11834-11854;NC_000964.3:162735-162755;NC_000964.3:948543-948563;NC_000964.3:32302-32322;NC_000964.3:637280-637300;NC_000964.3:3176774-3176794,NC_000964.3:166811-166830,,NC_000964.3:168343-168363,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Bacillus_subtilis,500-4
NC_000964.3_354_insertion,NC_000964.3:161186-161205,NC_000964.3:3178328-3178347;NC_000964.3:166793-166812;NC_000964.3:635727-635746;NC_000964.3:90829-90848;NC_000964.3:10104-10123;NC_000964.3:30572-30591;NC_000964.3:171792-171811;NC_000964.3:946990-947009;NC_000964.3:96685-96704;NC_000964.3:3526462-3526481,NC_000964.3:161670-161690,NC_000964.3:167278-167298;NC_000964.3:947475-947495;NC_000964.3:636212-636232;NC_000964.3:10589-10609;NC_000964.3:31057-31077;NC_000964.3:97170-97190;NC_000964.3:91314-91334;NC_000964.3:172277-172297;NC_000964.3:3177842-3177862,NC_000964.3:160789-160809,,NC_000964.3:161670-161690,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Bacillus_subtilis,500-4
NC_000964.3_410_insertion,NC_000964.3:3177061-3177086,NC_000964.3:636988-637013;NC_000964.3:162446-162471;NC_000964.3:173050-173075;NC_000964.3:168054-168079;NC_000964.3:948251-948276;NC_000964.3:97946-97971;NC_000964.3:92090-92115;NC_000964.3:11365-11390;NC_000964.3:31833-31858,NC_000964.3:3177557-3177577,NC_000964.3:10874-10894;NC_000964.3:172560-172580;NC_000964.3:161955-161975;NC_000964.3:636497-636517;NC_000964.3:947760-947780;NC_000964.3:97455-97475;NC_000964.3:31342-31362;NC_000964.3:167563-167583;NC_000964.3:91599-91619,,,,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:All primer templates offtarget,Bacillus_subtilis,500-4
NC_000964.3_465_substitution,NC_000964.3:1979683-1979701,NC_000964.3:1995110-1995128;NC_000964.3:1968901-1968919;NC_000964.3:2508150-2508168;NC_000964.3:2314035-2314053;NC_000964.3:1191648-1191666;NC_000964.3:3831329-3831347;NC_000964.3:1689708-1689726;NC_000964.3:1991969-1991987,NC_000964.3:1980184-1980202,NC_000964.3:1995611-1995629;NC_000964.3:3810518-3810536,NC_000964.3:1978374-1978395,,NC_000964.3:1980213-1980232,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Bacillus_subtilis,500-4
NC_000964.3_482_insertion,NC_000964.3:172750-172770,NC_000964.3:31532-31552;NC_000964.3:167753-167773;NC_000964.3:91789-91809;NC_000964.3:11064-11084;NC_000964.3:162145-162165;NC_000964.3:636687-636707;NC_000964.3:947950-947970;NC_000964.3:97645-97665;NC_000964.3:3177367-3177387;NC_000964.3:3439965-3439985;NC_000964.3:2316016-2316036;NC_000964.3:3022890-3022910,NC_000964.3:173232-173250,NC_000964.3:3176883-3176901;NC_000964.3:92272-92290;NC_000964.3:168236-168254;NC_000964.3:98128-98146;NC_000964.3:11727-11745;NC_000964.3:162628-162646;NC_000964.3:948436-948454;NC_000964.3:32195-32213;NC_000964.3:637173-637191,NC_000964.3:171670-171689,,NC_000964.3:173232-173250,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Bacillus_subtilis,500-4
NC_000964.3_490_deletion,NC_000964.3:638926-638946,NC_000964.3:950189-950209;NC_000964.3:99881-99901;NC_000964.3:33948-33968;NC_000964.3:94025-94045;NC_000964.3:13480-13500;NC_000964.3:164380-164400;NC_000964.3:174985-175005;NC_000964.3:3175128-3175148;NC_000964.3:169987-170007,NC_000964.3:639485-639507,NC_000964.3:3174567-3174589;NC_000964.3:34507-34529;NC_000964.3:14039-14061;NC_000964.3:175544-175566;NC_000964.3:170544-170566;NC_000964.3:100440-100462;NC_000964.3:94584-94606;NC_000964.3:164938-164960;NC_000964.3:950748-950770,NC_000964.3:638926-638946,,NC_000964.3:640243-640264,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Bacillus_subtilis,500-4
NC_000964.3_400_substitution,,,,,NC_000964.3:3373862-3373882,,NC_000964.3:3374463-3374485,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-4
NC_000964.3_359_deletion,,,,,NC_000964.3:4105341-4105361,,NC_000964.3:4105923-4105943,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-4
NC_000964.3_486_substitution,,,,,NC_000964.3:2744729-2744753,,NC_000964.3:2745338-2745358,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-4
NC_000964.3_122_insertion,,,,,NC_000964.3:1022636-1022656,,NC_000964.3:1023217-1023237,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-4
NC_000964.3_131_deletion,,,,,NC_000964.3:3772582-3772602,,NC_000964.3:3773132-3773152,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-4
NC_000964.3_265_insertion,,,,,NC_000964.3:820868-820890,,NC_000964.3:821434-821459,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-4
NC_000964.3_353_substitution,,,,,NC_000964.3:2402175-2402195,,NC_000964.3:2402727-2402748,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-4
NC_000964.3_49_insertion,,,,,NC_000964.3:3008922-3008942,,NC_000964.3:3009438-3009458,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-4
NC_000964.3_371_insertion,,,,,NC_000964.3:1997514-1997539,,NC_000964.3:1998163-1998186,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-4
NC_000964.3_180_substitution,,,,,NC_000964.3:552056-552076,,NC_000964.3:552622-552642,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-4
NC_000964.3_21_insertion,NC_000964.3:3173600-3173620,NC_000964.3:95525-95545,NC_000964.3:3174075-3174097,NC_000964.3:176036-176058;NC_000964.3:100932-100954;NC_000964.3:165430-165452;NC_000964.3:34999-35021;NC_000964.3:171036-171058;NC_000964.3:951240-951262;NC_000964.3:95076-95098;NC_000964.3:639977-639999;NC_000964.3:14531-14553,NC_000964.3:3173571-3173595,,NC_000964.3:3174093-3174115,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Bacillus_subtilis,500-5
NC_000964.3_66_insertion,NC_000964.3:638359-638379,NC_000964.3:169422-169442;NC_000964.3:949622-949642;NC_000964.3:99314-99334;NC_000964.3:33381-33401;NC_000964.3:93458-93478;NC_000964.3:12913-12933;NC_000964.3:174418-174438;NC_000964.3:163813-163833;NC_000964.3:3175695-3175715;NC_000964.3:1146511-1146531;NC_000964.3:138511-138531,NC_000964.3:638869-638889,NC_000964.3:3175185-3175205;NC_000964.3:13423-13443;NC_000964.3:174928-174948;NC_000964.3:93968-93988;NC_000964.3:950132-950152;NC_000964.3:164323-164343;NC_000964.3:99824-99844;NC_000964.3:169931-169951;NC_000964.3:33891-33911;NC_000964.3:600755-600775,NC_000964.3:638359-638379,,NC_000964.3:640256-640278,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Bacillus_subtilis,500-5
NC_000964.3_177_deletion,NC_000964.3:13199-13219,NC_000964.3:174704-174724;NC_000964.3:164099-164119;NC_000964.3:169708-169728;NC_000964.3:949908-949928;NC_000964.3:99600-99620;NC_000964.3:33667-33687;NC_000964.3:93744-93764;NC_000964.3:638645-638665;NC_000964.3:3175409-3175429,NC_000964.3:13794-13814,NC_000964.3:3174814-3174834;NC_000964.3:170300-170320;NC_000964.3:34262-34282;NC_000964.3:175299-175319;NC_000964.3:639240-639260;NC_000964.3:94339-94359;NC_000964.3:950503-950523;NC_000964.3:164694-164714;NC_000964.3:100195-100215,NC_000964.3:13179-13199,,NC_000964.3:14854-14876,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Bacillus_subtilis,500-5
NC_000964.3_185_substitution,NC_000964.3:3714522-3714546,,NC_000964.3:3715027-3715048,NC_000964.3:3714946-3714967,NC_000964.3:3714522-3714546,,NC_000964.3:3715091-3715111,NC_000964.3:3715010-3715030;NC_000964.3:3714929-3714949;NC_000964.3:3714884-3714904,B:SEQUENCING_PRIMER_2 offtarget;A:SEQUENCING_PRIMER_2 offtarget,Bacillus_subtilis,500-5
NC_000964.3_329_deletion,NC_000964.3:100087-100106,NC_000964.3:164586-164605;NC_000964.3:175191-175210;NC_000964.3:170192-170211;NC_000964.3:950395-950414;NC_000964.3:34154-34173;NC_000964.3:94231-94250;NC_000964.3:639132-639151;NC_000964.3:13686-13705;NC_000964.3:3174923-3174942,NC_000964.3:100654-100673,NC_000964.3:3174356-3174375;NC_000964.3:175758-175777;NC_000964.3:170758-170777;NC_000964.3:639699-639718;NC_000964.3:94798-94817;NC_000964.3:165152-165171;NC_000964.3:950962-950981;NC_000964.3:34721-34740;NC_000964.3:14253-14272,NC_000964.3:100087-100106,,NC_000964.3:101258-101283,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Bacillus_subtilis,500-5
NC_000964.3_442_deletion,NC_000964.3:1980017-1980037,NC_000964.3:1995444-1995464;NC_000964.3:1969235-1969255,NC_000964.3:1980520-1980540,NC_000964.3:1995947-1995967,NC_000964.3:1980017-1980037,,NC_000964.3:1980730-1980750,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Bacillus_subtilis,500-5
NC_000964.3_461_deletion,NC_000964.3:950913-950933,NC_000964.3:175709-175729;NC_000964.3:100605-100625;NC_000964.3:165103-165123;NC_000964.3:170709-170729;NC_000964.3:34672-34692;NC_000964.3:94749-94769;NC_000964.3:639650-639670;NC_000964.3:14204-14224;NC_000964.3:3174404-3174424,NC_000964.3:951472-951492,NC_000964.3:3173901-3173921;NC_000964.3:95252-95272;NC_000964.3:165606-165626;NC_000964.3:640153-640173;NC_000964.3:101108-101128;NC_000964.3:14707-14727;NC_000964.3:176212-176232;NC_000964.3:35252-35272;NC_000964.3:171212-171232,NC_000964.3:950913-950933,,NC_000964.3:951563-951583,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Bacillus_subtilis,500-5
NC_000964.3_34_substitution,,,,,NC_000964.3:2210208-2210228,,NC_000964.3:2210754-2210778,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-5
NC_000964.3_125_deletion,,,,,NC_000964.3:574110-574130,,NC_000964.3:574720-574740,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-5
NC_000964.3_219_substitution,,,,,NC_000964.3:2413499-2413524,,NC_000964.3:2414127-2414145,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-5
NC_000964.3_13_insertion,,,,,NC_000964.3:1956919-1956941,,NC_000964.3:1957461-1957482,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-5
NC_000964.3_388_insertion,,,,,NC_000964.3:2170245-2170265,,NC_000964.3:2170761-2170786,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-5
NC_000964.3_184_substitution,,,,,NC_000964.3:3681516-3681537,,NC_000964.3:3682095-3682115,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-5
NC_000964.3_315_insertion,,,,,NC_000964.3:1864034-1864055,,NC_000964.3:1864550-1864570,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-5
NC_000964.3_48_substitution,,,,,NC_000964.3:2778012-2778032,,NC_000964.3:2778590-2778610,,B:No primer3 design results;A:No offtarget,Bacillus_subtilis,500-5
NC_003197.2_9_insertion,NC_003197.2:4015622-4015641,NC_003197.2:2350681-2350700;NC_003197.2:1299622-1299641,NC_003197.2:4016134-4016152,NC_003197.2:2351193-2351211;NC_003197.2:3622154-3622172;NC_003197.2:3859668-3859686;NC_003197.2:731880-731898;NC_003197.2:876792-876810;NC_003197.2:4713040-4713058;NC_003197.2:1879025-1879043;NC_003197.2:2126569-2126587;NC_003197.2:4512595-4512613;NC_003197.2:4406042-4406060;NC_003197.2:696594-696612;NC_003197.2:2295439-2295457;NC_003197.2:1986928-1986946;NC_003197.2:4635391-4635409;NC_003197.2:4327647-4327665;NC_003197.2:4719762-4719780;NC_003197.2:4547919-4547937;NC_003197.2:3203649-3203667;NC_003197.2:2221604-2221622;NC_003197.2:596448-596466,,,,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:All primer templates offtarget,Salmonella_typhimurium,50-1
NC_003197.2_46_insertion,NC_003197.2:1104201-1104221,NC_003197.2:2770924-2770944;NC_003197.2:1558897-1558917;NC_003197.2:4303543-4303563,NC_003197.2:1104705-1104727,NC_003197.2:2770367-2770389,,,,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:All primer templates offtarget,Salmonella_typhimurium,50-1
NC_003197.2_18_substitution,,,,,NC_003197.2:208392-208412,,NC_003197.2:208961-208981,,B:No primer3 design results;A:No offtarget,Salmonella_typhimurium,50-1
NC_003197.2_7_substitution,,,,,NC_003197.2:59785-59806,,NC_003197.2:60376-60394,,B:No primer3 design results;A:No offtarget,Salmonella_typhimurium,50-1
NC_003197.2_12_insertion,,,,,NC_003197.2:3496386-3496406,,NC_003197.2:3496914-3496934,,B:No primer3 design results;A:No offtarget,Salmonella_typhimurium,50-1
NC_003197.2_47_substitution,,,,,NC_003197.2:887515-887535,,NC_003197.2:888102-888120,,B:No primer3 design results;A:No offtarget,Salmonella_typhimurium,50-2
NC_003197.2_18_substitution,,,,,NC_003197.2:1883372-1883392,,NC_003197.2:1883993-1884018,,B:No primer3 design results;A:No offtarget,Salmonella_typhimurium,50-2
NC_003197.2_12_deletion,NC_003197.2:2800582-2800602,NC_003197.2:3570933-3570953;NC_003197.2:4352205-4352225;NC_003197.2:4101207-4101227;NC_003197.2:290242-290262;NC_003197.2:4395750-4395770;NC_003197.2:4197134-4197154;NC_003197.2:17967-17987,NC_003197.2:2801117-2801137,NC_003197.2:4395215-4395235;NC_003197.2:4351670-4351690;NC_003197.2:4100672-4100692;NC_003197.2:4196599-4196619;NC_003197.2:289707-289727;NC_003197.2:3571468-3571488,NC_003197.2:2800053-2800074,,NC_003197.2:2801886-2801907,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Salmonella_typhimurium,50-3
NC_003197.2_23_deletion,,,,,NC_003197.2:2826672-2826692,,NC_003197.2:2827264-2827286,,B:No primer3 design results;A:No offtarget,Salmonella_typhimurium,50-3
NC_003197.2_28_deletion,,,,,NC_003197.2:229498-229518,,NC_003197.2:230210-230230,,B:No primer3 design results;A:No offtarget,Salmonella_typhimurium,50-3
NC_003197.2_43_deletion,,,,,NC_003197.2:3683746-3683768,,NC_003197.2:3684317-3684339,,B:No primer3 design results;A:No offtarget,Salmonella_typhimurium,50-3
NC_003197.2_3_insertion,NC_003197.2:2906220-2906240,NC_003197.2:341484-341504;NC_003197.2:4053797-4053817,NC_003197.2:2906722-2906740,NC_003197.2:341014-341032;NC_003197.2:862100-862118;NC_003197.2:4118174-4118192;NC_003197.2:1031562-1031580;NC_003197.2:671867-671885;NC_003197.2:3202707-3202725;NC_003197.2:4289543-4289561;NC_003197.2:1987236-1987254;NC_003197.2:2143713-2143731;NC_003197.2:90110-90128;NC_003197.2:1647425-1647443;NC_003197.2:78299-78317;NC_003197.2:4318566-4318584;NC_003197.2:1452592-1452610;NC_003197.2:275410-275428;NC_003197.2:601090-601108;NC_003197.2:4299771-4299789;NC_003197.2:4432013-4432031;NC_003197.2:2313978-2313996;NC_003197.2:4258439-4258457,NC_003197.2:2906203-2906224,,NC_003197.2:2906747-2906765,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Salmonella_typhimurium,50-4
NC_003197.2_20_substitution,NC_003197.2:3521453-3521473,NC_003197.2:66262-66282;NC_003197.2:830488-830508;NC_003197.2:4311602-4311622;NC_003197.2:2977422-2977442;NC_003197.2:4082738-4082758;NC_003197.2:1888818-1888838,NC_003197.2:3521997-3522016,NC_003197.2:829951-829970;NC_003197.2:1286538-1286557;NC_003197.2:3625427-3625446;NC_003197.2:2828621-2828640;NC_003197.2:3748523-3748542;NC_003197.2:1718844-1718863;NC_003197.2:3431665-3431684;NC_003197.2:420904-420923;NC_003197.2:1859418-1859437;NC_003197.2:745419-745438;NC_003197.2:57710-57729;NC_003197.2:2267714-2267733;NC_003197.2:2828024-2828043;NC_003197.2:1118249-1118268;NC_003197.2:3411244-3411263;NC_003197.2:4142828-4142847,NC_003197.2:3521387-3521407,,NC_003197.2:3522066-3522088,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Salmonella_typhimurium,50-4
NC_003197.2_26_insertion,NC_003197.2:832301-832321,NC_003197.2:3519642-3519662;NC_003197.2:64451-64471;NC_003197.2:1294598-1294618,NC_003197.2:832798-832818,NC_003197.2:63954-63974;NC_003197.2:3519145-3519165,NC_003197.2:831930-831949,,NC_003197.2:833180-833200,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Salmonella_typhimurium,50-4
NC_003197.2_39_deletion,NC_003197.2:1105808-1105832,NC_003197.2:2769262-2769286,NC_003197.2:1106361-1106381,NC_003197.2:2768713-2768733;NC_003197.2:2917922-2917942,,,,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:All primer templates offtarget,Salmonella_typhimurium,50-5
NC_003197.2_49_deletion,NC_003197.2:4198255-4198275,NC_003197.2:3569934-3569954;NC_003197.2:4396750-4396770;NC_003197.2:291361-291381;NC_003197.2:4353326-4353346;NC_003197.2:4102167-4102187;NC_003197.2:2799622-2799642,NC_003197.2:4198826-4198846,NC_003197.2:3569363-3569383;NC_003197.2:2798951-2798971;NC_003197.2:4397321-4397341;NC_003197.2:4102738-4102758;NC_003197.2:292031-292051;NC_003197.2:4353897-4353917,,,,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:All primer templates offtarget,Salmonella_typhimurium,50-5
NC_003197.2_31_deletion,,,,,NC_003197.2:2359314-2359334,,NC_003197.2:2359867-2359888,,B:No primer3 design results;A:No offtarget,Salmonella_typhimurium,50-5
NC_003197.2_2_deletion,,,,,NC_003197.2:3379944-3379966,,NC_003197.2:3380509-3380532,,B:No primer3 design results;A:No offtarget,Salmonella_typhimurium,50-5
NC_003197.2_50_insertion,NC_003197.2:2352339-2352359,NC_003197.2:4017280-4017300,NC_003197.2:2352826-2352844,NC_003197.2:4017767-4017785;NC_003197.2:4818301-4818319;NC_003197.2:665338-665356;NC_003197.2:2618689-2618707;NC_003197.2:4600779-4600797;NC_003197.2:3501372-3501390;NC_003197.2:2090526-2090544;NC_003197.2:4369323-4369341;NC_003197.2:167324-167342;NC_003197.2:13042-13060;NC_003197.2:3298792-3298810;NC_003197.2:4855394-4855412;NC_003197.2:164467-164485;NC_003197.2:1378037-1378055,NC_003197.2:2352339-2352359,,NC_003197.2:2353674-2353694,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Salmonella_typhimurium,100-1
NC_003197.2_57_insertion,NC_003197.2:832108-832126,NC_003197.2:64646-64664;NC_003197.2:3519837-3519855;NC_003197.2:1392963-1392981;NC_003197.2:152085-152103;NC_003197.2:895177-895195;NC_003197.2:2448631-2448649;NC_003197.2:1858060-1858078;NC_003197.2:4597398-4597416;NC_003197.2:71972-71990;NC_003197.2:795528-795546;NC_003197.2:3865098-3865116;NC_003197.2:2849327-2849345;NC_003197.2:4674058-4674076;NC_003197.2:2301862-2301880;NC_003197.2:3027136-3027154;NC_003197.2:2380600-2380618;NC_003197.2:471460-471478;NC_003197.2:831028-831046;NC_003197.2:4566948-4566966;NC_003197.2:1851712-1851730;NC_003197.2:4268707-4268725;NC_003197.2:2273056-2273074;NC_003197.2:398069-398087;NC_003197.2:2253910-2253928;NC_003197.2:13297-13315;NC_003197.2:912367-912385;NC_003197.2:4084898-4084916;NC_003197.2:4304853-4304871;NC_003197.2:859100-859118;NC_003197.2:3792467-3792485;NC_003197.2:1882295-1882313;NC_003197.2:4844359-4844377;NC_003197.2:548318-548336;NC_003197.2:1021559-1021577;NC_003197.2:4837390-4837408;NC_003197.2:566748-566766;NC_003197.2:3383312-3383330;NC_003197.2:4361141-4361159;NC_003197.2:2957330-2957348;NC_003197.2:476889-476907;NC_003197.2:3147776-3147794;NC_003197.2:3598951-3598969;NC_003197.2:2290616-2290634;NC_003197.2:1810440-1810458;NC_003197.2:41250-41268,NC_003197.2:832597-832617,NC_003197.2:64155-64175;NC_003197.2:3519346-3519366,NC_003197.2:831980-831998,,NC_003197.2:832724-832745,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Salmonella_typhimurium,100-1
NC_003197.2_71_insertion,,,,,NC_003197.2:2955565-2955586,,NC_003197.2:2956094-2956113,,B:No primer3 design results;A:No offtarget,Salmonella_typhimurium,100-1
NC_003197.2_33_deletion,,,,,NC_003197.2:4478367-4478390,,NC_003197.2:4478958-4478978,,B:No primer3 design results;A:No offtarget,Salmonella_typhimurium,100-1
NC_003197.2_6_deletion,NC_003197.2:3598706-3598726,NC_003197.2:4361384-4361404;NC_003197.2:758482-758502,NC_003197.2:3599226-3599246,NC_003197.2:4360864-4360884,NC_003197.2:3598456-3598476,,NC_003197.2:3599474-3599498,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Salmonella_typhimurium,100-2
NC_003197.2_32_deletion,NC_003197.2:292328-292348,NC_003197.2:4199123-4199143;NC_003197.2:4103035-4103055;NC_003197.2:4354194-4354214;NC_003197.2:4397618-4397638;NC_003197.2:3569066-3569086;NC_003197.2:2798654-2798674,NC_003197.2:292856-292874,NC_003197.2:3568540-3568558;NC_003197.2:2798212-2798230;NC_003197.2:4398146-4398164;NC_003197.2:4199651-4199669;NC_003197.2:4103563-4103581;NC_003197.2:4354722-4354740;NC_003197.2:4843929-4843947;NC_003197.2:1765501-1765519;NC_003197.2:4544356-4544374;NC_003197.2:152684-152702,NC_003197.2:291873-291893,,NC_003197.2:292856-292874,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Salmonella_typhimurium,100-2
NC_003197.2_45_deletion,NC_003197.2:1110097-1110117,NC_003197.2:2764977-2764997;NC_003197.2:53150-53170,NC_003197.2:1110628-1110648,NC_003197.2:2764446-2764466,,,,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:All primer templates offtarget,Salmonella_typhimurium,100-2
